genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
RBM19	319147083.43238705	713440833.1578903	879419999.6822346	362979999.5278611	104009493.33907296	196808294.36560085	556038750.2880098
RBM22	1414745830.3710024	1706704443.8420093	1739037499.7679694	1196174999.3953335	733262499.8552688	1155100833.7569711	1562500000.063979
RBM23	13775254.145054631	18871647.57446803	27379937.501844626	15341665.227337018	341756372.6033056	11842240.095276864	38568749.970232025
RBM24	456643424.2363398	473711833.5890164	487746874.98298025	219256625.12927973	304054877.19731754	120524111.46482515	422475000.47104025
RBM25	4342800007.005355	4862672221.216407	5235237498.766226	4400524994.925789	3227691665.8022575	3974574993.0375233	4559912504.052293
RBM26	236366996.52280262	330216367.5223801	360779734.9327507	318703683.8604842	132720569.84267648	235535189.23613584	358450885.10803086
RBM27	1116709167.9534369	1463384166.7707062	1721306249.1404	1261437500.14172	518570249.7303423	1292598332.0489142	1542962498.999735
RBM28	1045954167.4880829	938759445.1610652	1328248748.982859	658988749.3879676	131980291.59357114	507134249.3209758	1354748750.938229
RBM3	7320608339.334733	7945872223.342915	7201068743.392037	7853850009.693371	1949243664.502802	4031150000.5145893	7905062504.53124
RBM33	620400832.9896562	477701111.03957653	484190625.038573	616772500.8409244	358988333.56670135	253441474.2662816	479568749.92662275
RBM34	629673250.0978917	816093889.1986505	822132499.9405403	245617500.19131875	243647607.65365043	234790166.19384146	600159999.829315
RBM38	456643424.2363398	473711833.5890164	487746874.98298025	219256625.12927973	304054877.19731754	120524111.46482515	422475000.47104025
RBM39	4750683331.860075	6656258336.496869	7771143749.380587	5934787502.412231	2880574998.117864	4978791673.247087	7954612500.310011
RBM4	3366133336.029448	2858055556.5948763	3024787500.8675656	2197512501.4968214	1399096666.3630254	2340650001.0907636	3443324998.4362946
RBM42	454663333.4049363	645819722.6862061	832831875.9313744	501232499.7467154	196680156.69382942	418915249.983366	671870000.6700946
RBM45	245118610.43983507	262648360.94899538	243803249.93662673	271022499.9114332	207238074.52849817	233582583.18022287	314257499.9953249
RBM47	21000854.084029343	9383276.684774207	6752445.893981989	335384999.77592653	49365576.03972781	762293332.6462198	13563262.967298131
RBM4B	716543595.7988237	357930821.24364376	441055427.7167337	409364034.2293233	274273561.88072264	265942508.74430916	685062327.0557909
RBM5	625688630.888028	689821111.2521758	889354999.7004414	514881250.8289517	259391050.25351843	478621666.7886324	850752500.1676655
RBM6	945609999.6634427	831530277.4094446	901622499.8512036	624018750.3986666	305925916.6903834	516151666.5770671	839732499.6039851
RBM7	292150988.96793664	433066389.0353208	443280000.4079307	481322499.94782525	197201646.25604427	378785833.4378368	257189999.9582141
RBM8A	3872016665.767992	4125105552.9679775	4018731248.90238	3667074998.954195	2215075002.796301	3292991666.1414657	3811412498.1541867
RBMS1	84811121.48294367	187550861.01664615	353582499.8707779	229922500.10769895	272570800.0244226	269951666.6609368	380130000.1875707
RBMS3	4459099.640145397	4130272.4738898445	4265625.175304275	8780657.445289217	5112091.63664832	5139376.634296324	3440206.6996937403
RBMX	27268750010.283688	18447047212.146587	16746374995.526264	20567250021.875736	13844224990.848633	10171700004.887085	16163237497.169003
RBMX2	156610916.7724028	161171186.1777886	189483437.40297723	125979875.0559198	491748568.7017588	159064833.24977437	221883750.00254202
RBMXL1	819407684.3936442	843733611.3015542	842505625.6765149	330892500.24568164	344932749.92795455	197302964.4247599	682211249.3545237
RBP4	1161423667.6770732	3125104806.208941	704573998.9361279	2478137501.7948146	1634584446.0810099	1559354165.7793672	414200500.2427063
RBP7	36488632.96084449	25487624.7203603	12934806.200192	13467591.094915256	376389833.1813609	962117499.3689914	5581788.180021313
RBPJ	283285781.34707314	729943333.0938332	693173750.2591681	625974999.8707128	427410666.67661744	768687499.919712	612995000.6579049
RBPMS2	5998422.114747102	4239982.67603618	5397577.196203758	3437315.625313341	4902927.639732349	5814103.559030076	4951559.098685564
RBSN	80035359.31817342	78718926.47094627	68888874.96380532	44613874.98679355	38994984.55435936	63419249.95949164	52807625.03454348
RBX1	582919993.2591923	546482388.9741597	602459999.381456	463976250.2057823	426343105.4048617	442385833.91405314	576953837.04073
RC3H1	5733776.5597428465	6279839.968203388	7674783.977095191	3807168.2951817303	7480397.475243327	7293236.921253183	7952930.639266592
RC3H2	6097606.079858307	9414287.329505945	11370306.627339981	10757196.481647573	6121924.455499579	12872531.386145718	12840850.42610622
RCAN1	5371889.488748733	4334619.238748306	3621428.7160286186	33312916.204924606	6840947.549503763	5467616.697039526	10275586.471037436
RCAN3	15141761.25519771	401436284.98698336	203937774.3674877	38414875.03677544	42948954.457173556	27162997.181151908	44104226.15074509
RCBTB2	18816469.405240443	23596707.918631252	29325034.331037603	11945480.906987613	8012560.670338377	22861757.513037384	25997232.766189646
RCC1	3880049998.5106907	3957466670.794755	4660662500.177385	2434175000.182551	2057916669.030567	2711333332.1135154	4071437500.898757
RCC1L	218305166.78271684	196263084.30283397	227069374.7011932	134602499.9656203	717281843.6052917	226975083.55834642	214768999.7647537
RCC2	7710524993.931809	5509988888.355384	7849706251.452925	10863849994.407856	7913488328.838347	9557983332.566738	8307850000.477154
RCCD1	54428320.91693779	72885668.38294886	78952812.47024795	65145866.41866797	58484226.66272985	50936098.26458511	55885985.48515688
RCE1	8489179.116009375	29492481.877683304	57290800.69307264	61145125.05492626	8321981.07349056	59465666.70411871	50538374.98981327
RCHY1	96899621.0964065	115841472.24141283	114340900.05379128	92357999.95794863	319027083.22335476	81442775.74115302	119665499.85997264
RCL1	703384750.1268269	910629860.7993895	1249248126.5458186	508862500.6874364	55142657.36506501	316827499.66481996	777271250.1038682
RCN1	493334166.87452835	249038727.3235917	398641875.1575761	1173429998.4918082	445877909.1099215	1616639999.893239	1197998750.0618174
RCN2	545689083.9488331	417526944.50081104	576771875.3168602	819012500.3822209	135283175.0103259	377442500.1019471	976926249.4061558
RCN3	36302523.979308225	5218334.7561340425	6756032.560187854	3621814.169306554	9214156.501634004	6035795.659435835	2222570.1739483844
RCOR1	131504416.69306429	119427250.01139696	140532687.53991324	305407500.41030836	374851666.54568624	371445833.58451205	181752499.9592224
RCOR3	212332564.86025503	273724166.5355227	285031875.05578136	326347500.0930289	274844222.5645779	418818333.3805203	391773750.02230024
RCSD1	7819025005.659122	3315236111.414155	3318100001.3096447	3511612501.0834293	10326583334.531523	3705391664.1872287	3170625002.6648035
RDH10	888231490.1899976	14760291.849910524	26960317.065382283	4845546.0290900245	9460350.852745013	149460905.7990339	25415584.348865766
RDH11	1236970832.6227295	1622265278.3006177	2180068749.628563	1992550003.015132	2108253910.8984592	1627266666.3590162	1795520002.604089
RDH13	506916666.95842934	763155277.8851693	959966250.1979616	531892499.4693326	251917333.07604364	675118332.6256521	1058539999.7421432
RDH14	3650195831.881183	2778990557.371903	3980987499.730177	3312574998.4756827	1662478751.4157708	1554940832.4349449	3902824999.928565
RDX	397408333.29218465	265911172.2122232	299936625.1019742	695557500.0095831	879548666.9652914	838215833.2954074	575249999.9790144
RECK	22517764.48053412	25858172.15577739	34762046.991613775	14774948.373419367	7939538.381699669	4996107.088601875	25806950.65750781
RECQL	7522108337.792184	14130338893.069536	16259562500.149265	7379987501.49468	2556309169.712588	6181783333.011811	14826125002.495253
RECQL4	69063712.86498651	4053245.5522026867	4767506.625568248	6334913.917040056	4899243.154723987	4579754.859296675	6314347.149870421
RECQL5	85581123.7087637	123191957.04197699	96765437.3703334	305149499.79101264	72774510.35847767	99632095.91708563	96756234.97913378
REEP3	7281386.573783231	20989089.552463517	20897903.18255876	37278721.32239236	12266761.606609546	45501736.95119121	13216060.31033845
REEP4	65625900.61462744	39503846.72822894	69504168.80905762	127313499.94048849	457295249.7501259	238194999.90644252	196805500.08982787
REEP5	1567901666.862085	2166308333.9088936	2168888126.9442067	2978587503.254676	2602079169.9621544	4652574999.91712	1729132498.8217363
REEP6	4580921.184514204	17374386.03030039	30752132.696173087	21817340.424626756	19078039.63157553	11212992.746988421	71897180.4973382
REG3A	18622620.258098137	46648314.74799218	54434848.3350429	79450874.91440485	120990451.86659427	144152333.28572634	66958015.44913614
REL	125638129.2360657	51576798.17467144	64703536.68902638	218519389.85465768	138224205.01948017	129793641.67507601	96887360.1748255
RELA	1541156667.4940856	2091247222.0647502	2719212500.264042	2156624999.328251	1629004999.3741615	1147779166.2872574	2303437498.7772956
RELB	535673696.36719626	128929538.83978343	150529662.55890933	204725750.0613516	320392354.39324534	134693583.20620298	438042824.9074317
RELCH	87356593.95639779	73472323.30612193	70831272.13782185	206868749.80742013	47031682.90360982	185464833.35814413	104896766.33169325
RELL1	5902583.149628739	10652523.485641425	20201776.334141035	60483066.29111354	101052161.51205754	19895597.04375493	15124113.748822331
RELT	5525445.040880368	15181674.52961363	11223984.778197391	12755566.867139366	6163924.5656741895	32295837.659709062	2692722.5223579323
RENBP	130151943.43630952	55522407.930048734	80851905.61428092	75034000.01433054	1206241833.0542655	1461945002.0766306	63200490.421056345
REPIN1	202172344.77837896	78735105.51709288	57018819.79896739	530448749.58114827	76845706.61146425	31294500.110030457	117183750.04247347
REPS1	91922111.73380111	145271891.9013837	151603299.70001593	178316087.00628608	103831586.33012749	62142173.70534584	94681185.64611006
REPS2	73586869.04968055	29302603.791628618	45751813.99015811	159350125.2476599	230547166.5869383	81746583.35464704	64472219.37942691
RER1	737877500.3695248	735844999.9346576	982063750.383123	1229646250.4277425	1218762500.2703493	1612634165.993574	787153750.4679657
RERE	23208781.037372444	79157672.44984546	28773026.39568574	40278859.15413503	101039395.04419523	46676540.8317321	23523908.840634942
RESF1	924907791.9834481	356313794.7188621	268748181.68106955	525199508.67952335	46039460.02990448	153306122.87769306	331807500.05708694
REST	55114158.99398472	14016830.30541029	11202102.466101106	24456931.574498713	6257734.3287268095	9012708.643805953	7402311.236278319
RET	5478360.16602438	11250705.229387783	42000768.07181928	4129433.466361724	24340934.235014986	11311222.144931031	13045070.511941992
RETN	5213863.206856611	9466573.716693105	3064650.1398335923	3183858.5723788408	11406440221.6835	105588219.71910244	4071745.228552669
RETREG1	5214222.0683598835	30475420.622326534	16479561.957726203	19886144.21576798	17431911.380804416	5082586.771944235	23709078.436578654
RETREG2	60074915.10313591	100245706.21348119	107419648.8955894	110343499.92611021	82828976.97279002	130984416.65873288	90620393.54981108
RETREG3	256985636.45615378	695411333.4264228	550339994.2282805	548461036.5668511	306614856.6110919	289646392.53343046	621427523.7443719
RETSAT	30770038.76246642	118205929.98810382	120578300.01311736	298631875.17314756	39979506.110720105	140130499.93981543	103204499.96973285
REXO1	4482477.5872210255	38448739.20744669	30983526.70260006	40094187.196732916	77474261.73717694	24559575.80957593	38441081.74811098
REXO2	53912796.81005869	137610184.18179026	125087460.70159076	74982162.13945481	56872506.80264897	23989159.67825177	98825679.65777645
REXO4	333878166.75886947	476391777.79567283	600248125.0830932	78483134.3942829	537549229.6472367	79542782.79472652	373669749.60365933
RFC1	896359166.8254453	930441666.6305196	992091874.715082	813903748.9708396	302957166.6768416	310082500.0276649	1111619999.2657158
RFC2	1434846667.1483915	1754220833.681279	1859918749.9930189	1871925002.162726	774859999.8117051	1068285000.4749794	1998812496.8160741
RFC3	1209680001.1181705	1349294166.6230466	1250087501.1742642	1425975000.1949034	717614417.1576347	725914165.7872866	1460837500.005724
RFC4	934012500.2536541	949929305.4358277	976154374.9106276	1173776248.4390225	426926750.50218815	554321667.1058626	862556249.9761997
RFC5	858685832.8103272	1286819166.7247324	1354563125.901988	1358564999.9418356	469910999.9771052	820867500.0381064	1333093750.0311422
RFESD	5686992.136643949	5078328.883901206	3285725.4169317936	4784245.515039295	4004676.0906250025	4001349.352067597	6804833.345004784
RFFL	33475976.80546565	85250492.63841397	79963403.19479531	39254517.70074609	125985930.66650325	34925773.00231343	73804624.92712766
RFK	27205352.40273598	249659565.36105183	85004951.01041903	122976670.88072157	50137562.649188675	360136335.01817113	43835498.42947108
RFLNB	7448741.134743645	187230828.7430724	174834562.46012503	158329875.1256302	1599546668.2951825	417872499.4497395	166044500.0237936
RFT1	200250416.97273052	167826305.63351816	168913562.54258275	300814999.6882183	378132903.4965536	379513333.37318295	160285499.8323661
RFTN1	2506970834.340771	1578344445.7419705	1897831249.1758425	1516249999.2880988	787488053.3715491	1641966664.7935505	4288912503.1450176
RFWD3	4506563.15597494	4692445.429150656	4902893.898591218	3873053.5627882993	4860236.361371194	6407216.149758783	3659430.145838537
RFX1	625544666.6780963	690464722.0676863	695408750.2368001	507313749.5196381	313940675.78110474	552300000.5303355	606443749.6787338
RFX5	1008047332.1358103	456568610.8430588	479660000.10910183	842976250.647153	732932333.0446824	402304166.64470893	755524999.5669067
RFX7	23470407.138549212	41900142.56584581	32296816.24972454	25430920.972650133	72258016.63155115	66253208.330536544	47514219.55786472
RFXANK	78002005.89148013	62361939.60948805	71249624.97623867	108834374.98467988	66930062.51945124	111010750.12576972	107518996.58123848
RFXAP	167098922.5294607	97784361.11824703	98833312.56478906	135514000.01270762	57170956.67879767	26695211.72725969	135033500.0058384
RGCC	6911676.819065518	44176956.306797214	18692214.683180995	5870695.647376958	4402821.899512196	24948431.506971773	4127623.7868511314
RGL2	22778137.812915917	37004889.9978171	61108154.17174567	49540633.32832408	84579500.00734894	54013843.471295916	83439920.8943512
RGN	287611409.48523027	30120039.68363536	27362102.456952814	14114540.800884364	19732192.268032126	25713931.31171686	22067342.494761672
RGP1	23746832.950373758	17534006.666602783	25911187.01396341	40816374.990142316	17879524.463952344	32066954.87012733	28046432.201244574
RGPD1	31095686.909574296	4786355.802386481	3867373.3831328093	3323528.5299167824	8284394.755402247	4707678.452741587	7122139.525493285
RGPD2	31095686.909574296	4786355.802386481	3867373.3831328093	3323528.5299167824	8284394.755402247	4707678.452741587	7122139.525493285
RGPD3	311090833.34690344	189463321.30433145	276288750.0880026	128149667.35069454	120263314.84597687	229287499.84659144	183875892.47844684
RGPD8	6890058.135149767	5039158.84127487	4179898.9574362976	6162159.059234706	4651933.339946077	5192995.907033789	4750983.6416616645
RGS1	34692657.07204332	7989734.970071088	8839390.560698422	33391468.780546173	16076746.40026818	19926149.080590498	4963687.789789204
RGS10	535125416.7547824	2499066666.4740477	3027675629.229069	1848324998.9585998	121038226.1630976	745587499.9556891	619153750.1003373
RGS14	130336541.53745438	351351557.05267406	375276365.60496175	161146307.3098803	413449726.7997005	184815694.25408888	248308738.17438266
RGS18	56183238.13150547	27548678.57835236	22736579.975141823	102438585.33286914	742011417.5649837	170878166.69406077	2931849.258313559
RGS19	488895683.09361434	645823889.2156228	617559374.4497486	886571249.5525604	1419471666.3599195	872916666.1847858	437047500.2895799
RGS2	5478118.146216233	5694706.428876077	4461649.335671341	50258333.06105866	83799601.3987882	21608562.957038697	5022407.806265927
RGS3	73261333.30655344	254592722.33927044	904449124.9920112	80847581.20084715	57366314.45116964	103222749.92480932	3922287504.9501667
RGS6	5679875.772568117	4844260.730936368	4192483.583880757	3724017.164476111	27510688.904431164	5444476.772298458	7916940.366347565
RHAG	6494792.404644071	5545940.084083379	5508009.021560973	5447232.6479075905	4124245.7006813684	6039546.9764827425	4259085.556585126
RHBDD1	65333339.74652367	80052580.14406711	37548484.64948383	137767499.92688903	21144607.15908254	16964945.920396525	25665520.47338795
RHBDD2	4834161.610421731	72378949.42258458	98593615.52351566	33150228.8946347	23267501.79205032	36939613.699488364	33697284.40980242
RHBDD3	4686397.701507001	4678409.98702491	4540748.7173171025	10044879.488357756	6947581.440707081	6837483.943331294	3630052.641510785
RHBDF2	98304488.03153497	27971403.348756507	69574903.84921673	139888249.8691051	128289786.13974053	102556916.76516788	139517624.96070477
RHEB	134952519.0221323	286066058.1191975	350482499.8667239	599402500.6990857	516706697.08461493	472035833.4604745	550592499.5872203
RHEX	12670682.575951748	6410439.486396857	18747210.482779793	3724651.4582424182	319518654.80313337	4435583.59320971	4583125.299200405
RHOA	13251741674.130157	18177388891.511475	19616124994.928265	20370374983.4791	23287083319.639313	19876333342.63199	17043625020.879328
RHOB	9637814.63811083	10463990.799500996	21120955.513877224	29273401.72974036	88553132.83768664	310198234.105193	26426717.534139603
RHOC	96001717.97806449	109380962.67127126	303038206.46648264	843429999.0805094	13997712.289594434	816890307.5179175	1399019999.164395
RHOF	453733667.52958494	1114954166.0482419	1462637498.9493377	586040375.6401844	290681666.73778737	372121667.14400226	1334361250.202572
RHOG	3446583333.7523093	8319944448.866573	7423743744.09623	6680249996.586885	12213716669.62062	11713391668.590883	7737587491.441584
RHOH	114390166.13390547	217553250.04826576	352960624.71113706	47072997.009712555	127796867.89609574	124781304.63299583	106688112.56349778
RHOT1	306118921.1470346	534378333.35195637	733472500.3036071	509846249.7777655	272856749.74252766	1307395833.6106782	680961249.2045723
RHOT2	556928250.2041509	960742499.9340125	1062353124.1338009	748360000.2995589	347395424.34602016	1167037499.5193717	1199018748.7965426
RIC1	29285745.779527258	44972453.182807356	47729715.000266	119167249.86163136	43426141.256593086	195964879.69446996	53164938.43791885
RIC8A	886240213.3904101	1655263332.3875299	2032412501.3238049	1241499999.6613035	1268980000.6232505	1245288332.8929935	2063850002.5193868
RIC8B	4231053.223139387	29789542.61618032	63391263.73935046	6056612.537560033	106137644.73169541	191950927.0721284	3818837.480766337
RICTOR	240113333.3596295	277906111.2092898	352789999.93584543	305046249.7195864	634486666.6879336	251670250.0058767	502461250.3461463
RIDA	208745029.38880062	229671805.62800688	321173124.9193681	190221124.88213456	81651597.3933199	169671739.3026068	246399999.82629198
RIF1	1215807498.5884914	789537972.2138257	839196249.6999533	509143750.4852286	390348884.1183329	199402500.10391262	936751250.4471638
RILP	12252230.816510497	9785426.980668461	6665429.245207465	25260740.930835813	97969803.34833057	27193995.08203684	8004219.43402471
RILPL1	28648325.538798217	10704114.463317195	7280389.711651428	6323009.066773102	8508590.267902698	5065062.019308157	6114776.2262150375
RILPL2	31163363.37604237	148449737.45377532	82572103.13187936	115811249.83114104	99138565.08516876	325338666.38036835	8828302.847868087
RIMS3	3764509.870214893	5641884.009981642	5194479.962554789	88094103.53333655	37087171.560073614	4319308.19681557	4110686.1652308875
RIN1	4582663.487511428	16219737.102280766	20967896.13745665	26017588.40427796	79265365.12639463	363656083.0436092	6916582.130570014
RIN2	24564907.70889545	109480477.89952493	89657040.34578148	77893350.17337146	40325616.03775154	53511538.381601326	116582290.62632248
RIN3	1010571150.9873337	1403111944.439141	1226767500.0924757	1479032001.899951	2530062499.1769633	2406291667.402174	3305374993.0574446
RING1	532224916.6829515	474461111.05902654	476546874.55093086	302470749.87313634	192867343.72718194	149058333.33167997	507161250.37615657
RINL	36620389.55216259	79922833.32952608	94034312.512398	65214000.00256717	246256416.49358007	91007916.62245058	101469000.02001035
RINT1	180307999.7929105	283531739.2803228	325803499.94929093	354082499.8686258	104438092.85042258	279685000.0770008	207851250.12802958
RIOK1	128423066.31404145	548534997.4334289	212306875.06471407	178376249.82345635	2057945908.7939417	243109499.83637014	155661125.1723652
RIOK2	25001881.411907017	38683436.19744265	24897772.10575702	39077515.82727067	17099220.417723592	41747874.60666308	29296322.20895369
RIOK3	25237681.99669231	38923109.06187332	25159615.424652345	55722750.00012403	22695069.006279707	55319000.69701909	71120483.58692218
RIOX1	319568000.0332077	1056915249.8594309	1390555625.1480968	339053749.55623907	403752259.7284171	367581999.88104874	763924998.8698101
RIOX2	507120889.91475934	1475096666.8709311	945141249.5514914	1114071250.084517	125751958.48216133	482129166.14032525	655824999.5834628
RIPK1	780024999.8265022	1213564444.643265	1601012498.7728195	814957500.898973	919111666.8315945	989707501.3745929	1496387498.4292352
RIPK2	58114645.62060517	24758932.883656517	47552098.54692796	87749499.9557687	151001166.805464	107360999.92240214	74230624.98001295
RIPK3	206376819.9941816	254276920.2427792	308480312.65598214	320093749.4530105	247878033.61480486	373839166.3356473	333361249.99428684
RIPOR1	80228602.45033026	11997219.344747763	13806575.378796404	633487249.6214684	52965995.04938078	326538833.41392404	38150525.68138098
RIPOR2	4108425000.7251735	4162463887.3961277	4688687503.241605	1767275000.2968066	2769424998.3755317	1989408332.73192	4086999993.6720285
RIPOR3	6388574.406862292	82266092.19907056	581419020.4097816	37087234.53662442	23662890.44407648	19614993.51792435	332704017.14402807
RIT1	47060833.69664509	89233352.7380073	88642562.53393708	90792999.85243592	97147612.09427713	157180916.6210473	121619250.1436119
RLF	140259832.50570753	345081746.53697574	402616937.5852827	177745749.94482067	303529040.42897	166113949.9836296	183342125.0167078
RLIM	5526755.358354562	13850810.15776549	18376918.42565273	7100729.728317708	4334776.81054289	142134605.0751102	8097057.378198548
RLN3	78188378.2784773	152975437.4577303	169189125.0485525	441129250.2509761	125270378.75825025	211147750.05330482	269122124.7431014
RMC1	60597835.22841627	64343517.40153395	81570451.8391819	59462503.28487952	43220536.22474576	56897567.24373891	57316922.39451827
RMDN1	469868333.2734907	969870555.7996184	1065901249.0977168	1546072500.0366838	1034714167.2805129	1653672499.009781	1156046249.5776649
RMDN2	159501465.79223093	86363729.53840236	235050252.1096303	449519624.6742236	299543905.248489	651985000.522768	318071860.54452264
RMDN3	544363451.6268736	958725555.7262325	1659993749.3483253	1812973749.6223724	194296250.25516847	1087515833.8144226	3963625000.5656776
RMI1	13061238.247927478	35917725.69544047	34239131.83952521	21121640.575647656	12497091.92729599	49147049.410650015	43504567.08283614
RMI2	25727467.79594248	10644304.43674429	8111179.970206741	23095352.05711135	6279641.209258544	12712557.654672125	22573851.527683176
RMND1	71960103.0494307	118238764.83393332	132773375.1316137	100186124.95185727	902865749.9320488	195318333.17920017	133070999.87152815
RMND5A	71063725.9285549	196016695.4758867	213439374.99337387	190802499.9888801	184727452.86251402	257348332.96654823	209037499.64810592
RNASE2	5598215.73379119	4885076.6745152585	3910255.1161035565	15597445.382645143	48146173233.231964	925080499.891438	5328958.975024172
RNASE3	3473740.3731275466	2919679.141824996	2705148.2242968394	3273773.67751083	87871370815.61972	520142377.3387449	5346265.0775922425
RNASE4	8716745.853793003	18601572.5523281	5340441.295565371	7460583.530247416	14012430.030698774	5119811.15355958	8310171.374554442
RNASE6	27946736.02224803	29469830.37865385	9557783.856866557	1290098749.9076614	486210861.9048485	271772844.1374722	106272249.91901127
RNASEH1	160816543.82268837	352166621.1995876	891605719.1713235	236158624.5113858	112890886.41098303	601687657.7369046	312621181.79501677
RNASEH2A	1192519166.6644747	1019938332.5532777	919597500.0786836	1778187498.1754355	364070999.9109614	1216398333.1407354	963794999.926506
RNASEH2B	778100415.8998452	513401944.53830314	464372500.0737254	998269998.6623858	265336558.7178563	571552500.7633953	407853750.46534836
RNASEH2C	813287499.1738106	661744414.7790818	652944999.6632726	1086569999.3465967	296155229.5739955	974499999.6971531	653953748.586946
RNASEK-C17orf49	2786405001.038466	3367594444.319415	3474831250.2819343	3647224997.859222	2364235000.2564816	2645566669.1259885	6437275000.158178
RNASEL	61769952.06457158	166737879.26422688	202442375.2367477	875098749.2984283	630973499.9417597	741964167.0644275	181786000.14591512
RNASET2	579448678.159223	4431116665.426487	2683493750.113711	6038924993.685144	5286991664.819952	3395633333.670222	1760674999.5243359
RNF10	16604351.573677415	6008719.313907786	5124341.435712726	12189229.390263012	22959350.464630038	10632494.861813571	4859323.44706729
RNF11	6683563.536356516	7668638.680868402	7745382.323066233	63266181.70822166	13107812.497721309	15892985.673671754	7288743.023074696
RNF113A	510396666.40336376	396923888.8081005	439308125.2659197	337783750.26035035	306230822.89283913	261465000.00152147	473767500.2202284
RNF114	315901749.92877626	365067777.8099938	349289375.10752755	352232500.08901626	98897808.94543199	271316666.5961935	281257500.04046977
RNF115	7974904.921756751	5767682.451178845	11861667.503199989	3323870.4523551953	6627947.610882117	4260113.216459713	19507033.28609887
RNF123	35201658.94988511	104685281.87589063	138598375.01578456	118172250.04643376	405275416.6735349	307387583.61112815	69223008.3430969
RNF126	483089166.827117	432689166.6095941	468510000.15949106	330922499.89537936	258805833.29633656	247189166.5308433	479242500.4602333
RNF13	36694891.53547951	21951007.354496673	126915610.19138348	22457129.175963886	132698083.35702108	75417999.99927124	166996874.9355682
RNF130	73755838.93609926	47476085.18069262	14725728.366223391	84654250.10184395	124690342.40437122	93440097.13105522	45418497.58947638
RNF135	103598520.47590433	22860095.11938956	11015604.397734767	82985875.01033118	38890011.037264906	105575631.56625356	29365394.08409125
RNF138	20529495.21028608	28822665.962432034	17594783.532872327	22616689.068526868	5494535.373713751	11482723.19098814	6101728.155653528
RNF14	77785189.90363224	87090321.70956936	114642312.57367682	135787874.93292573	39625299.472026855	87789833.30486502	106308374.98219486
RNF141	45365772.20458629	27673085.314127073	62856903.743205406	12445213.946110392	21675373.70635691	62432895.64674915	11043837.138291331
RNF144B	3998386.903607505	4254812.379908896	6289881.271386724	4661792.426161609	12516058.8159201	6116017.389555414	4825944.937793865
RNF146	76413341.76056255	224965849.61026734	154836417.70655912	48292992.95629782	71524858.40522844	289327891.54166526	158140750.1035491
RNF149	7442660.960173043	53382113.17438495	63794437.46377687	60650749.99405636	58149493.31148992	84648030.21948436	82856374.9785802
RNF166	119165457.83502932	37636982.04379257	36178989.53044805	37565842.18000398	11617369.683646576	66412262.07881423	49865625.015949704
RNF167	9664389.075115947	6836406.974162545	15895457.174581286	14335207.684195718	67206207.6352124	9325789.859729927	14397132.580056682
RNF168	5451653.689692399	94211219.83588885	103056878.48374887	13689359.95586854	40367783.782374084	43287888.66593557	71851398.57699716
RNF169	177894206.38657597	242153611.1934179	336596749.95690155	245403749.65315026	253004619.79459584	151322594.5137569	375660000.02311987
RNF170	357885750.10977286	92758111.13761987	75101803.38646567	183872500.08020332	93835743.51310252	148519666.6693246	117215999.95582363
RNF181	25701656.214983463	78620380.42984311	68729632.85702902	148105250.03276318	107663945.74834192	163179166.82725307	110391352.81877293
RNF185	30812809.431157667	6034590.262233697	5013356.699874161	23815267.540322367	13252332.478345536	8273333.328983714	5370875.047268332
RNF19B	5837547.820850301	237052919.05672887	220763168.21057275	51596926.22706014	13169028.036859766	252967157.4502978	17709226.466031577
RNF2	454043862.4271026	789385277.7785878	879101250.623663	498678749.73887885	227663621.73650372	256702499.90649784	725513750.0787964
RNF20	894768333.5605869	1053386944.8103689	1269170625.084836	1435037501.5421972	1404228334.712627	1239434165.6550655	1303974999.3665059
RNF213	260791660.66852558	361694969.0622984	324528522.1214699	285867774.5982496	198507448.87945735	507413807.98509413	416496031.62300086
RNF214	246601687.1982632	276311666.6584299	235245937.5685946	341083749.7806542	239464833.47684398	199791916.7293434	247061249.95373806
RNF220	62399648.04327164	73292699.84617658	78451252.78950602	56918625.04641317	43445810.087959014	28957435.605097294	62564661.81226225
RNF25	45600286.58636278	109200822.12320781	122557750.09989715	123652125.06678416	33303849.32316635	96865434.79035747	127810705.08184655
RNF31	459315421.66702867	1056020277.9746966	1222433749.4641664	935401250.530312	843194166.9221926	750966666.2973299	955387500.4653031
RNF34	11141092.50925509	24798064.48353909	26488859.44026817	20899823.67434489	18529017.316123467	7378679.032323572	18753522.904874474
RNF40	1341836666.48927	1534854721.3467762	1600862500.390887	1737475001.4421787	1228326665.576037	1881224999.6113443	1857149998.0575442
RNF41	8764096.28712774	20529170.606870368	10441780.249117317	9318846.653258624	19036549.2517741	4334496.439901586	16401160.211431503
RNF5	36529395.24657624	23883784.920463078	28232540.848280486	65475375.001579836	43711270.351741485	38266833.35337362	29865341.51603709
RNF6	82335613.08386703	130230982.08076051	106582559.3912141	245477250.15180737	92174848.87104875	170596250.09105045	91687000.03745528
RNF7	125043847.06136541	146266201.14666402	175755625.12658453	147891124.9502816	56717489.23698119	213282500.0761055	173561250.1689156
RNFT1	117192966.27715547	189927830.46780172	145477925.65844804	268832242.29561013	46969917.94210752	169670867.25984615	91809741.91475047
RNGTT	340907083.6361621	638847416.8873911	787307499.9775504	525677500.1102194	218995833.05518267	237587666.6630566	688355000.0311226
