genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
ACOT2	1195025882.111359	1698057499.0190685	1971275000.745925	1080938749.0374413	325582249.64148617	429020833.70536536	2201550001.2720137
ACOT7	104606073.0420581	84632342.4665305	55161481.39591344	280278140.6707231	46481480.924220614	77054451.2559929	121747742.35421054
ACOT8	339119821.6262718	318736166.84781164	263421250.09839582	675832499.7681317	435088333.4233281	648973332.4369669	332187499.6856066
ACOT9	2591304167.5169377	4395305554.606993	5716718742.6783905	2548949998.804728	2353991666.97241	7762016662.3825655	3864512505.0854263
ACOX1	70053943.10016704	227654555.691511	248040937.40112922	840382499.909099	1864404332.0065153	857491666.4456744	227808750.1548441
ACOX3	370738250.06298685	525023055.6678222	579388749.5811034	1280403750.3001533	342748749.74533886	1197052499.7446172	198081499.84710523
ACP1	36924845.78962876	37075488.18112262	31398203.31029355	44560505.05748923	34133772.94820784	36753895.582216695	53441000.59177553
ACP2	24604238.889651835	326293249.934965	620396875.3085011	122735349.4245708	1010738334.1149253	1504135000.2359064	901037500.419404
ACP3	45351573.98249546	5317599.963727306	9772208.20394187	944629367.8615593	957434701.9141065	456456500.1206818	40386853.54356811
ACP5	69355506.12557203	160179493.91748103	160032862.57235295	134922375.01112974	505676792.9227593	267676804.4571341	133459938.07157448
ACP6	35334949.31500015	349091073.08104706	358846710.8408267	100513486.60187663	105657775.6362497	126819449.41566582	42661504.8704519
ACRBP	5966217.64620107	5374473.414042553	3012125.8401380256	15601601.227765013	4401971.779287395	38115186.98051859	3838408.2969506783
ACSBG1	4670519.095741413	4885506.845536349	3405572.19330396	4670044.0383142065	10466542.301472472	14699554.864358462	5117909.920086383
ACSF2	1164801666.45094	409626944.55743766	512958750.0169414	2583898749.779137	1582196666.604581	1114154167.853513	492298749.7441355
ACSF3	91313530.86217044	106577132.27387744	101565263.30963661	89659774.19908625	77521103.12477544	272813170.7428884	64882735.540173195
ACSL1	48557979.53516484	41851533.433928646	50080183.32713711	49386981.35649927	143798120.64032373	719610337.0499282	56389564.2327325
ACSL3	1212510000.664584	1010595555.2069486	1735168749.8009002	3325312500.6117992	1039800832.4895195	2034949999.8914595	1799224999.85647
ACSL4	1222238332.4667659	1232679999.414814	1598528749.7908096	2898325000.4279766	6281116667.451493	4336750003.099038	1524154998.7942545
ACSL5	794481750.3233614	1187452778.355908	1748590625.1987422	1225172498.4339213	892750832.8697802	1511774999.3553412	1830676248.7349608
ACSL6	44987718.5883626	32093721.017052233	60652132.36788584	22758742.079130836	25027533.342136547	8228714.4674661895	1011963099.0651457
ACSM3	18889196.706197686	92418687.7994439	151676437.42071918	143619407.8097156	48640799.17664375	97355349.39019723	48213470.44372717
ACSS1	1789642500.04187	1291095833.0640154	1878212500.381333	1699487500.070287	832526095.933127	2059757500.8777268	2707900001.2133803
ACSS2	37747229.05187877	95326841.27127002	72782501.0137367	650121248.9953964	579620802.6171954	1351596667.2747202	36805557.4534146
ACTA1	19874916661.33777	26014583339.68194	30314124992.901215	20991000013.282703	33810999988.156162	29846333335.86433	23740000006.83305
ACTA2	7271156.164551954	9740579.691822145	3978477.0339321853	13195151.435643777	11936913.915220143	5834572.946766875	4418815.546146958
ACTB	504736205.5065176	210766622.79372036	169525690.8205876	175147905.1007079	2321535691.0111203	1551945159.573909	135988784.51110137
ACTBL2	1598362643.6145985	4910847555.376912	19289624221.055897	622582500.5488142	3430750003.687481	2487887531.6062226	2185060871.850153
ACTC1	19874916661.33777	26014583339.68194	30314124992.901215	20991000013.282703	33810999988.156162	29846333335.86433	23740000006.83305
ACTG1	155355125.04891446	149147221.99601305	154314961.4776641	187955413.7067144	730192301.1926694	252248041.12365365	197519588.633873
ACTL6A	3097536666.7330265	3981275000.4876895	4458581253.178489	4058325003.373612	2172197498.6539173	3723133331.4403267	3856525001.319851
ACTN1	7916715.923406199	50111800.32015781	48904525.459312394	29379937.969752856	172129930.26998654	55879724.87360218	17342672.490282834
ACTN2	776738809.2498995	51306814.797054	99903113.71247882	3407076.334722402	16174806.397462932	129194591.20712478	40353097.67432175
ACTN4	530923630.2892577	1477601529.7190578	1960539198.1319938	3379200208.8263974	4469561330.857825	4832089096.3758745	2186900092.2583055
ACTR10	257356782.51928136	549837222.4396399	616531875.1567944	590656250.6033945	769884166.5121177	661317500.3670516	424080000.37193453
ACTR1A	2671866666.780062	4613011110.595353	4780856252.008231	6007062502.475434	5481756668.790355	6703933332.355132	3705525003.987476
ACTR1B	679372499.8325859	1569259999.8381355	1490268751.7716944	1267746249.4781346	1411203333.74506	1051764166.1966001	1200465000.0773284
ACTR2	19717175010.136692	34948833340.70368	42389687488.19589	29703500002.138783	32547083308.443924	35362416698.10011	38226124989.34843
ACTR3	37741750001.56983	51838972209.015656	63595375008.43274	47594125067.92405	48117916692.034904	49502000003.60074	63897500044.50557
ACTR3B	54385172.57804198	75377503.55732237	161990687.51030147	27316051.050178535	55358034.697299846	55122749.982002266	45441497.23386451
ACTR5	361558318.3721397	320094222.3317546	367260624.7255967	156139750.01026586	148817583.21253446	249880416.69288695	252213750.08787888
ACTR6	65348856.56413994	69197960.96062915	79079179.117143	68798249.96378808	176620166.93317038	51781149.157416135	74304376.33299237
ACTR8	170959482.39664093	191600780.09093642	238872624.9365881	155927500.09104338	333650416.10735327	181519416.7295494	221047499.86587
ACVR1	8115893.250648172	29380754.052383676	16633649.942169793	13150983.241252434	13770390.581387699	10734995.59866405	5372252.198474845
ACY1	157540901.6834248	59592329.87984367	140859874.98488873	259504249.87993327	50294654.90872654	195727250.25006184	254164000.19317383
ACY3	9325196.352969222	7665506.663055375	9467381.797815593	350306210.04248375	4549684.661306083	15772425.689913884	9024378.533554293
ACYP1	308455493.09479505	340409214.5791539	443943750.20768476	252497087.75605842	438942768.58862185	159518704.34438393	349256249.9851681
ACYP2	443462499.91454023	148528194.47426987	150584999.93601805	377712500.22104156	322910833.0859197	182514999.79325	141734875.07974675
ADA	575341666.7592144	4549841665.356787	4264187500.4537644	11698399998.084782	1481283334.02989	3297975001.393118	6622125002.891579
ADA2	265829499.9665055	686714444.4231533	1600617500.709695	1526825000.8127117	3898330832.812572	6274366667.97588	1925649997.599352
ADAL	24227056.873429593	96601603.11776912	106100716.42726256	37158432.8842144	44805630.29660656	8240520.140599827	41128457.630947515
ADAM10	828169166.4792075	1303158332.5502028	1525836249.7553458	1029995000.5742251	2917248337.0955257	3016050005.991278	2763787501.9457126
ADAM15	6409701.093015474	21090399.563988335	9314096.810376832	48096085.072175115	22597954.765979383	52683960.399968795	23070565.620302405
ADAM17	102526233.27448235	57619497.72470387	103784437.59867577	216338874.81679606	50132519.1330607	388103333.20648307	194366249.89637804
