gene	B cells	Monocytes	T cells CD4	T cells CD8	NKT cells	Dendritic cells	NK cells	Megakaryocytes
SYTL2	4.52305631779545	3.77142735211134	10.2444791504646	14.3162519874563	66.4905804301063	1.82809425700071	37.1103209663183	2.7893729142622
SYTL3	3.60098867668902	7.68862823149776	14.6034931608494	17.8728978550163	30.442717764624	4.16642753649314	54.3902155288349	13.4678174462169
SYTL4	1	1.33647092470622	1.43562721395119	1	1	1	1.47399520127258	29.8210098338435
TAL1	1	1.13035564539667	1	1	1	1	1	34.8838026207879
TBC1D12	3.711806612592	7.93194593845102	1.38517181351769	1.36821888108592	1	10.1542236269657	1	1
TBC1D31	3.92444431981447	4.79658331511302	6.42110238474928	7.86619226165749	20.2065298487797	5.37677575078499	40.7695875237564	2.93160570519061
TBC1D4	4.55254511586745	6.88712220836031	44.3086986934301	28.9420930834008	7.28931585765573	3.30440043624732	5.17115457969765	20.7107560735635
TBC1D9	26.2527088839821	33.5581067968605	3.39737407635088	2.59842434493966	3.54232486980434	28.8084844406677	1	2.7893729142622
TBX21	5.57162682839327	3.20976084452232	6.13240181844646	22.934251695633	54.5170174183804	2.23523328927123	216.77224366992	12.6675394028299
TBXA2R	9.81751901691289	1.34428569070566	3.27925988960488	11.5808292146192	1	1	3.71515660777113	98.2297255349242
TC2N	8.66472547184663	8.54167604520559	86.4162158347593	86.7229476348389	135.740856153911	3.27122654037194	38.4985279236813	40.3023566442587
TCF4	111.375010842837	40.3119538147603	3.47178665000251	3.49047259213321	2.52608382473232	24.8832595786258	12.3272055927016	32.8581354519077
TCF7L2	1.45383437793981	39.8982075895668	4.2380618700836	6.25107352579972	12.4442232272702	3.92841083930983	7.79189413047723	4.30134331659552
TCL1A	1100.81937122179	57.464437786349	9.61450062364646	11.1795330727996	24.0057348958237	7.44923714450432	10.980757483891	37.7010824988485
TCL1B	6.74127556175402	1.45197406305358	1	1	2.60188638140274	1	1	1
TCN2	1.43341671900517	12.1215078901159	1.82484352434821	1.44457917622719	2.15026617159211	4.85010558346948	1	23.6986181390982
TCTN1	41.1975397641361	3.95758587461981	4.58670130140102	6.87448872462381	7.00075586814966	8.31973881753795	6.03411396477744	1
TDRP	1	1	1	1.33373826909984	1	1.75756657495061	1	31.4270387349831
TEAD2	7.06121502270992	1.33115124037167	1	1	1	1	1	1
TFDP2	23.4988995326272	6.95195082142481	17.1026179210891	30.1580579658151	25.5877756573594	12.554803763882	93.756592096178	33.2636607333265
TFEC	5.30722407106087	52.8880774662775	3.34944422987574	2.54941115884731	3.96148879964936	23.6744652122458	3.81001676479781	34.0331812454388
TFPI	1	1.30250384819903	1.19661252350994	1	1	1.95280200012196	1	60.9277916115909
TGFA	1	1.53502274047396	1.68818661007222	1.32165303929957	5.58307469835509	1	9.45192692931294	5.26803243704652
TGFBI	9.09677127612314	179.280200013196	8.77784184514285	6.67263898419143	14.0841673926591	190.954526601871	6.54787525970842	63.5570699818495
TGFBR3	2.27091959337128	1.80214403615377	4.69456903585932	16.0906369282986	40.225539722424	1.88062587842431	68.2428370408885	7.49861254622139
TGFBR3L	1	1.22254357514473	1.89173018189213	2.81669199136684	8.30436071758063	1	1	1
THBD	1.52457673115432	8.08663623624202	1.36637973401883	1	2.79385067986941	12.4731271014698	1	1
THBS1	1	6.35214005838356	1.76251070635829	1.20212399983992	4.27802029822192	1	5.18079538029328	36.8243478728353
THEMIS	5.51893018715966	5.32919411533951	32.9610649682777	55.6218377909255	38.4549234225141	2.6505604070894	7.56061132698583	11.8741399451229
TIFAB	1.80175890477082	3.18587094482075	1.18391819318767	1.24673812202681	2.30185957621867	20.7942796599652	1	1
TIGIT	4.63403027910518	4.82970903268551	37.3263193238395	54.4912147688558	27.2450416704756	4.93418088672524	89.0950221105913	38.403248360726
TIMP2	4.72105796354343	89.4888901151982	6.61333558728461	4.61963076215064	6.6100615937703	35.6386081283082	2.58440439070145	37.6858206597673
TJP2	2.36756539332899	13.6146032573045	3.77452147521081	1.71249448091131	2.92451290578355	5.55840905783873	3.1998715275028	30.5450654937777
TKTL1	1.36043833282379	1.81327558227593	8.38229319456511	7.0712171485643	3.30392480951186	1	14.689563209754	1
TLE1	49.1264722499497	3.10746654917281	2.86564259072022	2.25309601445878	16.2579817268074	3.08210025738884	52.8412320487711	5.26803243704652
TLR10	86.375319164649	4.46273936563837	1.52918195002454	1.91163751154426	2.18699997626	16.3048668653125	2.92720559043798	4.69459038076448
TLR2	2.48666651602786	60.6494348804554	4.38612017892511	2.38470098958708	6.22918894843736	26.9777226648485	4.16073516537463	28.7407822376267
TLR4	2.27621029741045	38.6190641938519	2.12733380491258	2.07118244090415	1.30082063870238	11.317342765936	5.40623380229686	13.5864174955064
TLR5	1.47776460287873	21.3576604454586	3.14188060171716	1.68877515145248	4.52228216523953	17.5540385295527	1	9.9021828152263
TLR7	11.5274715174736	16.5356932154829	2.21386495951523	1	3.96148879964936	3.8696983506417	1	9.44456423576391
TLR8	2.32989446594173	40.5382775589491	2.90593680050764	2.07272631978574	4.40447595746267	14.2084949774921	2.92360221445087	7.13648080873923
TMCC2	1	1	1.43663265319597	1.76049658802115	1	1	1	39.1680409517519
TMCC3	7.33992635228562	4.35579419500343	1	1.28674805341084	1	1	9.60923087245537	1
TMEM116	7.40764389082298	6.42384584273074	15.8027385393895	16.0222659876304	20.2223784947141	2.17293247193173	1.94952153609796	1
TMEM140	11.7107370706241	4.66126341978004	7.20374032312026	6.83611467709138	5.16489400308382	5.5020050229647	16.0253295297593	95.2555008561592
TMEM144	1.08749285292758	12.2048263041233	1.72682203377426	1.08422570467436	1.60562895778524	3.56965808133917	1.93726685486985	5.26803243704652
TMEM150B	1.31002312424791	7.61419899886017	1.16364094558284	1.27023974048337	1	2.04334471274633	1	1
TMEM156	115.521706057092	6.58241127747686	20.3940844050033	20.7712233429245	31.023571943753	14.5909410575073	25.5604835981548	23.2917630371292
TMEM170B	3.00488739962667	38.004329508647	2.87560226268134	2.72385832377331	7.19215402206038	14.6810237682566	3.82454469770504	17.9345856627692
TMEM171	1.23750825341181	1	1.1554619053038	1.87707203952397	7.65391833344195	1	2.57109684555175	1
TMEM176A	3.51433372249776	33.4035225489323	2.1408780872818	1.98634913414526	3.63929793139543	4.94804489378414	2.76973609695322	4.30134331659552
TMEM176B	4.07853141439782	64.5533750269248	3.11502404931879	3.54457411877109	3.45053598590176	9.61881041625127	1.82216828798253	29.4898737894049
TMEM184B	3.83863961186295	6.49971459856874	11.6354780570072	11.5079761257538	16.9811300171581	11.471616472986	37.4562612389932	1
TMEM204	4.58799605138629	3.00597875697363	37.969693839665	31.6830293198258	16.2813539481014	3.21694673465592	10.9886953757946	10.7116389487756
TMEM40	1.63447831289679	1.40625040625041	1.32582759246085	1.5597804018265	1	1	3.25615479026785	386.80198450902
TMEM64	7.54095964134389	3.42419615505788	4.68500175589956	5.24812845545401	4.83238131267012	2.78452884869337	7.08068925906253	61.0146152033813
TMEM8B	1.55818782236689	8.40558208947623	2.59603144610983	2.42173172532745	2.5896936978183	20.106911307796	4.4030415170285	1
TMEM91	2.99096370826585	30.8061355336578	10.2133898811753	9.79693617927536	10.235714363377	10.5981983235164	25.2227214304279	100.524128558287
TMTC1	1.11646097910841	6.84863618553831	1.56882470452119	1	1	1	1	1
TNFAIP2	4.85541865655898	126.654240753534	8.696743055225	4.36497905358263	11.9352399883606	85.6302419682342	4.03336201456943	63.2630922499802
TNFAIP6	1	14.3874505089558	1.11033172778603	1	3.54553970532832	1	1	1
TNFRSF11A	1	1	1.12934164327523	1	1	2.58231287517014	6.71361513394165	1
TNFRSF13B	48.5472106920169	1.55902948360259	1.43401125260747	1.20212399983992	1	1	1	1
TNFRSF13C	269.166888824392	4.81156013757318	5.90452255048517	10.8799335765655	9.42126179568932	1.85117973511287	7.18303359678595	7.73550351256509
TNFRSF17	23.6431430530373	2.70078929118325	1.66158628401076	1.80537040745175	3.65896630026111	1	1	1
TNFRSF18	3.73097365727092	3.00378311712706	15.7390086281057	4.49453338395986	6.59759526238998	2.21149857527767	70.8693638982605	7.48748240270397
TNFRSF25	10.5157359340682	11.8112522429861	83.4681361581006	44.9941360162489	69.8061145267166	5.51780173033317	19.5427134185903	15.9688827194254
TNFRSF4	4.93872203285285	3.29773118864631	31.3587816077751	3.77332689769752	9.21307496217971	3.74100210474036	13.1098583583812	6.39776100873358
TNFRSF8	1.4736193994506	12.0241019261774	1.39035302857122	1	1	2.88972625360601	1	5.38665754241897
TNFSF13B	14.2246391253614	306.919714221421	26.8288107729754	12.0526312601071	16.9294714523618	196.00669369086	20.6214593838837	148.596846393597
TNFSF14	1.54182569250742	5.05017562239152	4.48950838870185	5.455225560672	24.2545736978473	3.88293878110751	27.9631104697485	1
TNFSF4	1.49439276059245	1.46453972770541	1.42970964393201	2.01391412479387	3.96959514547051	1	2.22404114736721	96.4626675062259
