NAME	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
SP140	486307107.73383	70514533.3176007	58210994.2971063	15199405.034436	18401719.104364	16957554.3812626	61683322.659763
SPATA22	14868299.8888704	7988018.69624662	5798987.82123783	3743634.07354978	38591423.9148637	3002978.30026513	8258380.65799453
SPECC1	33301499.9684538	8809999.98905925	210884999.707336	1682150003.51575	554115000.27552	1098750000.18001	1264405002.14931
SPI1	164124999.770166	3754701.38578901	4108171.01522488	417875000.272764	658429998.802474	1799499999.07961	8330100.00188074
SPIN4	8870742.07528253	3409957.53516842	3621599.40695987	9081037.40636779	118359999.958985	12998917.8650816	18450150.03274
SPIRE1	4012575.5339786	3978589.68304311	4086122.74629517	4009442.65061323	23585114.2368598	6334520.48575973	4800507.37784127
SPN	147565000.048564	2906849995.61794	4188699999.3797	2475399996.12083	1959200002.78363	3606299994.73896	7677049999.50766
SPNS1	10077573.6438001	52536999.9564465	80565499.9219881	145500000.138752	179265000.226972	547715001.080685	77941000.0948979
SPOCK2	124254999.907827	362609999.111675	152764999.662299	52654000.0970046	5588737.80973643	11310949.9724742	78495000.0063141
STAP1	1515100002.0005	9108749.99292094	5930919.26148107	25659000.0195858	26754424.8278202	6111649.99451045	30546999.9363114
STEAP4	7665088.88414302	4043742.61912589	3257027.38161767	8459207.60335466	111709499.956198	45781500.0356415	6895210.43808181
STRBP	6744349997.48331	1094899999.3711	1108195002.40773	2495685004.45649	191340000.008379	67546999.9695438	1047445000.68526
STX11	9655029.23905092	182175000.052387	274659999.194096	340084998.922928	977705000.090066	3579249995.84505	575550000.031461
SULF2	3797073.7652924	5466123.96466535	3180679.43141856	151894999.980003	394485000.99304	134575000.124243	3551777.28764858
SULT1A4	5424899.99262521	4546249.99707081	1425034.365801	571326501.3485	271349999.847153	16303500041.9896	4070449.99838849
SUMF1	8033116.77753033	29979999.9782941	22378999.9695116	79816999.884201	4496224.5252908	153520000.022546	21874499.9960995
SYK	6523500006.85751	15078000.0128756	11215499.9879321	13347500006.5496	4158000000.60249	10010749990.1407	2447950001.46409
SYTL3	6874440.45291111	13490000.0090666	85042000.0287251	7605222.47238315	148085000.130547	81196500.1190736	229145000.675435
TBC1D14	6224950.60223865	5221821.92436231	5277795.08084187	37360999.982163	10378738.3648311	11604500.0152479	8971700.01922512
TBCEL	10147304.487037	29811394.1010359	42069499.9127366	114499999.947061	107244999.983329	79083000.1892273	73507500.094464
TBX21	9537999.98853795	16491000.018216	370589999.773387	12415622.8421152	25159999.962656	15901500.0377849	5550700001.3296
TBXAS1	70144999.8396863	235115000.12613	45717000.0733558	2279350002.14802	3803149998.10114	16077500030.674	1635450001.6727
TCAF2	29171499.9875078	946509999.420815	820914998.937259	32556500.0562072	48370499.960318	15169450.0096733	241809999.794862
TCF7	4716979.60094472	78565629.745598	38239274.2505168	6227732.77509519	22735867.0639159	6733187.94224048	27202305.1793345
TCL1A	12674500012.9839	3878796.08713781	2462319.34760014	3578580002.37982	4480783.73051409	3475842.33046105	7185449.98509279
TCP11L1	4577855.71052027	41177000.0055598	80664000.0550916	523309999.613779	47837000.0498515	107896000.184081	108539999.766224
TDG	5030085.81926489	3749738.76837433	5349359.00283868	55075500.1095153	27222500.029586	17706500.0120468	48157999.9261952
TEC	5649047.22189638	7261821.55923781	4598632.23577158	7324788.34422812	117995000.161873	16196755.4459302	48349500.0290173
TECPR2	350999999.757903	5918042.6975781	7185132.79515927	2585971.20252137	6759056.40137773	16868000.0101813	12443499.9848532
TESPA1	4544409.89050873	107209999.804927	65757499.8981503	3869560.7446829	10048844.6507971	5711628.5720746	37321500.0425248
TGFBR1	5806647.40443898	10695485.6945347	26559500.0309473	26157000.0379458	249065000.131796	5771007.91328437	97089999.992894
THEM4	52194500.0398945	999600001.528746	1209649999.47742	192699999.503107	18335145.3015283	37291000.0468118	315324999.615118
THEMIS	10658358.3505358	2689500000.30177	5593499985.51483	20801000.0092008	13754499.9944248	14149500.0388703	4107000.00351838
TIFA	89524999.8790364	32583000.0176939	18582500.0160152	200210000.27278	6192115.97797741	24741499.9442447	30076500.0167126
TIFAB	6226765.60867782	5116914.27804243	3106671.09874081	426724999.980996	5197074.53389419	16554500.026934	3903148.75537312
TIGD4	32530499.9527186	174199999.640275	131980000.395495	10023738.1090634	34684000.0577064	5753900.66903121	86846000.0333823
TLR1	22872000.020097	6798101.09872329	5248259.37671164	142590000.392446	7212204.52525176	948519999.473117	37243500.0912552
