gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
FCGR3A	8.073300435	188.1793185	8.266344645	40.62304924	47.00033	7.640992601	769.3823131	99.15170733
FCGRT	51.86217896	406.4818549	72.71564166	51.92862927	55.98181855	406.434335	25.10056563	180.5364444
FCHSD2	39.83667309	18.16625618	9.577586128	10.73090163	7.23184628	19.61315218	8.044435627	1
FCMR	255.3815787	14.2540182	120.4748498	118.5756289	91.52149006	10.7903156	79.66320707	33.59882446
FCN1	53.53921924	1583.570787	82.24094033	53.10732772	100.3834994	558.1846149	64.07171246	593.4885163
FCRL1	143.0154636	4.667471667	2.737995507	3.433600027	6.923232406	2.242265935	3.61560996	8.738261058
FCRL2	92.5138734	3.346663215	2.116264882	2.667553577	1	3.891372576	2.856493085	1
FCRL3	89.24332499	4.044157828	8.621282686	17.79493425	13.70631942	5.857057601	47.56007481	7.498612546
FCRL5	118.5873383	3.236364231	1.902735389	2.074646651	1.986718765	2.148517035	2.115842282	7.735503513
FCRL6	3.895793265	2.778601087	2.77672573	39.20425735	21.32203058	6.537620594	187.2827428	5.355761147
FCRLA	182.9973999	4.261408516	2.899190456	3.993676357	5.677786548	3.139897954	2.754145924	1
FES	12.05592487	58.93963335	4.264697354	2.829332683	5.647723894	100.9612936	40.10180769	25.578533
FEZ1	1.470564197	1.487791699	1.269937871	6.760214466	23.64590789	1	76.20207385	5.386657542
FGD2	74.97541249	62.01802961	6.273020916	5.094266045	8.655336455	70.62356474	1.913493402	15.53430018
FGD4	4.055247211	35.65736136	3.776703565	2.21161414	1.491314542	22.35492633	3.351043356	15.40367496
FGD6	2.346698996	14.24156128	1.462355324	1.200300852	4.111684974	5.718064302	1.692643571	1
FGFBP2	6.914347422	9.174340034	6.677141916	98.87475526	117.8640427	8.239617773	1322.084408	36.09326034
FGFR1	1.887425162	1.986844273	5.357057313	6.003078446	13.50080704	1.691844263	5.044373408	3.507906174
FGL2	19.61626198	449.9095566	25.52940772	15.23250311	48.10152752	272.685165	54.54279518	201.6197935
FHIT	15.30861757	11.27226525	94.63262179	25.90308802	18.13993534	18.41224033	24.63912394	17.72039567
FHL1	3.091064663	3.963525812	12.96448307	6.625396231	9.810905093	3.469026719	5.938514415	116.757678
FHL2	1.586539052	1.17536808	3.219237025	3.902357973	1	1	3.224446669	63.37594969
FHL3	3.695401774	25.97971015	6.496317703	11.74717111	35.36090648	18.58076872	86.67025053	13.52399177
FKBP11	22.28503701	10.79402322	67.69615729	83.27766234	159.5211658	10.72390227	175.7610197	25.18246958
FKBP1B	2.507854915	2.476545687	1.338547125	2.734063407	2.184755514	5.348507596	1.935137026	20.74490106
FLT3	1.62188898	4.121678305	1.533308688	1	1	40.33608527	1.473995201	14.65947459
FLT3LG	19.51581501	13.04505382	157.9559092	127.7986837	96.05545362	6.215186655	40.6317665	45.94783819
FLT4	1.157935068	1.233061933	1.894604507	3.395277462	9.024560563	1.761280657	1	1
FMN1	1.735029546	3.249031376	1.455412246	1.659281834	2.233745404	9.903326662	1.473995201	1
FNBP1L	2.136097476	1.17890992	1.440604396	1.112547214	1	2.904617475	1	12.41008899
FNIP2	1.711234382	19.90566638	7.81624044	7.435319556	9.707098104	43.783473	15.35005609	5.268032437
FOLR2	4.717338182	15.90799493	1.672109333	1.769215746	1.982629083	4.897346474	1	1
FOLR3	1.512673021	30.28407711	2.043762329	1.223655706	1.605628958	4.716484901	1	5.268032437
FOXP3	1.193779297	1.25438399	7.162717693	1.250213307	1	1	2.997036398	1
FPR1	4.679887406	95.40662016	5.451778791	3.406442808	2.450285612	22.95962833	5.234775641	60.10002366
FPR2	1.291152448	16.21956115	1.684322504	1.555160775	2.061462951	1	1	7.498612546
FRMD3	1.575863855	4.608469879	1.9558574	1.522872336	1	2.211498575	1	69.5354691
FRMD4B	2.485192152	27.81981239	9.387955153	3.543827841	7.750862224	22.84974965	3.147821679	170.7241933
FSCN1	1.650101036	6.755267347	2.938546467	2.886219227	2.099239326	40.55911577	1.913493402	6.023932574
FSTL1	1	1	1	1	2.215285373	1	1	56.6036165
FXYD2	2.261330853	2.141615973	7.762246165	14.34986948	5.070725576	1	3.991441486	1
FXYD6	1.306820956	12.28285152	1.633648717	1.50154055	2.833813547	1.691052528	1	1
FZD1	1.803769114	8.330400275	1.403589723	1	2.131861913	10.75147182	1	1
FZD2	2.198206141	4.349550448	1.511294512	1.108742293	3.406113577	12.15789335	4.553852442	2.980590216
FZD6	1.206927006	1	2.783614422	1.978248228	1	1	7.706293893	1
G0S2	4.008763772	70.50719652	4.566286142	3.054867005	4.236748753	9.607623464	1	18.26874716
GAPT	134.8248949	78.68776325	5.782989795	4.958434513	13.65108528	83.37283794	3.56154525	62.17629988
GAS2L1	1.571233047	12.6007525	1.572729618	1.432331227	1	9.597724893	1	200.4347846
GAS6	2.456318127	12.10728491	1.855490241	2.20837409	1	41.75553409	2.96963609	2.980590216
GATA2	1.512836292	1.151827848	1	1.306052057	1	1	4.398932954	150.1463709
GATA3	6.423730255	5.265736139	70.54189306	47.25604244	60.93186983	3.740294267	74.06097348	6.480743408
GATM	12.15939112	5.588634498	1.340652031	1.884644326	1.300820639	26.09929793	3.694594158	5.48849639
GBP5	8.165889344	11.56036088	24.35831149	22.12699799	58.24054569	4.692035366	60.53548504	6.226462626
GCA	52.49767648	243.4395303	26.95559923	20.42592888	25.91560767	107.7274121	11.87684357	81.65018521
GCNT1	28.82770804	7.423650374	2.703170834	3.852694429	3.085079587	9.088019772	6.761329759	12.57447736
GCNT4	1.345310924	1.696693249	15.60732037	9.414187008	7.791717208	1	3.031876072	1
GEN1	10.49476251	2.610143596	1.86201601	1.629305054	1	2.219928756	3.279482831	1
GFI1	1.646190192	2.330982971	6.291236299	8.633682221	10.47502989	1	15.62142852	1
GFI1B	1.251021973	1.121805914	1.183439655	1.564938557	1	1	1.947990403	80.03403208
GFOD1	11.11093258	6.334092307	2.230507804	4.555347955	2.924512906	3.488753194	63.5386013	25.83613727
GFRA2	1.14811497	1.780101931	1.70982448	1	1.359210886	8.024468802	1	1
GGA2	105.4861831	26.54241777	19.03733952	23.67792182	25.11199848	29.9673182	14.36367833	20.21650647
GIMAP5	2.210842676	3.014425788	14.29491268	10.01047338	9.298479447	1.893364446	5.778968754	1
GK5	4.627151893	7.925714578	6.598545539	11.31399262	16.93090099	10.40036927	64.11419949	7.176030457
GLT1D1	1.402941782	23.16148457	2.169085344	1.592217796	4.78163209	3.972626765	5.195849268	13.4824619
GMPR	1.116460979	3.989634615	1.634628257	2.146090491	1	2.443205861	4.954108274	106.4989818
GNA15	2.236779329	31.20199215	3.827316353	2.432374331	1.560793366	37.29767284	4.499258528	64.99629847
GNAL	1.817175264	1.285312122	1.781244843	2.040687722	1	1	6.898454658	1
GNAO1	1	1.203994498	2.001144625	2.089035363	3.728800813	1	2.773804456	22.91679436
GNAZ	2.100452827	1.594466815	1.153878445	1.285542634	2.236528027	3.840125575	1	111.8974013
